Item,Description,Quantity,Unit Price ($),Total Price ($),URL,Running Total ($ with Tax)
Wire Connectors - JST xh 2.54 4Pin 10pcs,"Connectors for the steppers, will allow for much easier building and protoyping",1,2.00,2.00,https://www.aliexpress.us/item/3256808501357728.html?spm=a2g0o.productlist.main.5.7fd84e0bdFbiKN&algo_pvid=d37a2b0d-c870-46c5-a4e4-4ad3f3e49f5a&algo_exp_id=d37a2b0d-c870-46c5-a4e4-4ad3f3e49f5a-4&pdp_ext_f=%7B%22order%22%3A%2261%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.13%211.99%21%21%2135.60%2113.83%21%402103212517681426267991109e78e7%2112000049580451654%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29911%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895%3BpisId%3A5000000198683990&curPageLogUid=yp1VBhINy1jJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008687672480%7C_p_origin_prod%3A,91.16
Wire - General Purpose 28 Gauge Wire,Wire for extention cables for the Stepper Motors,1,9.66,9.66,https://www.aliexpress.us/item/3256805264336680.html?spm=a2g0o.productlist.main.17.43072Skb2SkbAb&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005005450651432%7C_p_origin_prod%3A&algo_pvid=c29f435e-717c-4e99-a606-c9f778e56551&algo_exp_id=c29f435e-717c-4e99-a606-c9f778e56551&pdp_ext_f=%7B%22order%22%3A%2210%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.66%219.66%21%21%219.66%219.66%21%402101e81117681476931311003e0631%2112000041530397592%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29911%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895&gatewayAdapt=4itemAdapt,101.54
"Heat Shrink Tubing - 5mm ID, 1M",For all the soldered joints to be electrically insulated,1,0.99,0.99,https://www.aliexpress.us/item/3256801350630686.html?spm=a2g0o.productlist.main.31.40eea486p10vwj&algo_pvid=e5022bc8-3b50-4c29-adc6-9c2b1e154144&algo_exp_id=e5022bc8-3b50-4c29-adc6-9c2b1e154144-30&pdp_ext_f=%7B%22order%22%3A%223627%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.66%210.99%21%21%211.66%210.99%21%402103110517693520904605266e508c%2112000016507963229%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29919%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895%3BpisId%3A5000000198772551&curPageLogUid=AysFTbKcXH8G&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001536945438%7C_p_origin_prod%3A,102.60
Power Supply - DC12V 8A,"Power Supply for the arm. Comes with EU plug, but I have so many C14 power cables it isnt funny. Should not be a problem.",1,15.39,15.30,https://www.aliexpress.us/item/2251832486212804.html?spm=a2g0o.productlist.main.1.3eb671edWwp84C&algo_pvid=56cb1eca-238d-4f0d-8fbd-5a5766b98dec&algo_exp_id=56cb1eca-238d-4f0d-8fbd-5a5766b98dec-0&pdp_ext_f=%7B%22order%22%3A%22417%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.59%214.69%21%21%217.59%214.69%21%402103212317693517533586666e7b63%2110000014222914841%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29919%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895%3BpisId%3A5000000198772551&curPageLogUid=XTHqQBl3XwQB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32672527556%7C_p_origin_prod%3A,119.05
Hardware,,,,,,
Extrutions - 150mm 2020 T-slot Extrutions 4pcs,Extrutions for the base of the arm. Will allow for the arm to be mounted almost anywhere or stand alone when the end effector is within a certain radius.,1,17.96,17.96,https://www.aliexpress.us/item/3256808366074196.html?spm=a2g0o.productlist.main.1.b22d4fd6A87Z2I&algo_pvid=3e68f3eb-bb14-4f8c-bfd5-026ca7029f85&algo_exp_id=3e68f3eb-bb14-4f8c-bfd5-026ca7029f85-0&pdp_ext_f=%7B%22order%22%3A%227%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2129.00%2114.21%21%21%21201.28%2198.63%21%40210337c117681433635942982e3432%2112000045678685196%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29911%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895&curPageLogUid=zHtV8X7rHrXA&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008552388948%7C_p_origin_prod%3A,138.36
Screws - M4x10 Countersunk,Countersunk M4 screws for connecting the extrutions to Robot Base,4,0.0043,0.02,https://jlcmc.com/product/s/E02/EDLJ/din-7991-gb-t-70.3-hex-socket-countersunk-head-screw,138.38
Screws - M4x16 BHCS,BHCS M4 screws for connecting the extrutions to the base,8,0.0111,0.09,https://jlcmc.com/product/s/E02/EDLG/iso-7380-hex-socket-button-head-screw?k=EDLG-S1-M4-L16&productModelNumber=EDLG-S1-M4-L16,138.48
T-Nuts - M4 20 Series Profile,T-Nuts for connecting extrutions to robot base,12,0.0075,0.09,https://jlcmc.com/product/s/T02/TPAA/m3-m4-m5-t-nut-20-series-aluminum-profile-fasteners,138.58
Heat Inserts - M3x4x5,Need some more for the design,200,0.03,6.61,https://www.aliexpress.us/item/3256806651793931.html?spm=a2g0o.productlist.main.5.7963454aBoepQ0&algo_pvid=285b6dcd-32ac-425a-84e5-e35b8f99be09&algo_exp_id=285b6dcd-32ac-425a-84e5-e35b8f99be09-4&pdp_ext_f=%7B%22order%22%3A%223260%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.11%212.91%21%21%2128.52%2120.21%21%402101ef5e17682620534203546ea8e2%2112000038467725119%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29911%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895%3BpisId%3A5000000198192865&curPageLogUid=ss2wGkLIHAfq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006838108683%7C_p_origin_prod%3A,145.69
,,,,,,
NEMA 17 Strain Wave Gearbox (OpenSource) BOM,,,,,https://makerworld.com/en/models/1303481-nema-17-strain-wave-gearbox#profileId-1336298,
Bearings  - 6706 2RS,,5,1.62,8.09,https://www.aliexpress.us/item/2255800723290638.html?spm=a2g0o.productlist.main.13.2466FTjcFTjcuC&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A4000909605390%7C_p_origin_prod%3A&algo_pvid=29c03760-de2e-47cc-880b-30a93a79b924&algo_exp_id=29c03760-de2e-47cc-880b-30a93a79b924&pdp_ext_f=%7B%22order%22%3A%22359%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.83%211.99%21%21%212.83%211.99%21%402101e2b617682607745375314e88f7%2112000028447926013%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29911%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895%3BpisId%3A5000000198683990&gatewayAdapt=4itemAdapt,154.39
Bearings - 605ZZ,,10,0.72,7.23,https://www.aliexpress.us/item/3256805797951431.html?spm=a2g0o.productlist.main.4.1c715ab91Sfj6T&aem_p4p_detail=20260112153503689040360269880000487060&algo_pvid=c73d1f18-79db-40e2-a5c5-898ea493ac2f&algo_exp_id=c73d1f18-79db-40e2-a5c5-898ea493ac2f-3&pdp_ext_f=%7B%22order%22%3A%2244%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.23%215.98%21%21%2150.17%2141.52%21%402103128817682609030626681efb6c%2112000035181890220%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29911%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895%3BpisId%3A5000000198683990&curPageLogUid=6IN0FvZSFegO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005984266183%7C_p_origin_prod%3A&search_p4p_id=20260112153503689040360269880000487060_1,162.16
Bearings - 4mm Balls,,200,0.0314,6.28,https://www.aliexpress.us/item/3256807297992129.html?spm=a2g0o.productlist.main.14.2f1c1e74BYfSV3&algo_pvid=e44bbaae-c9bd-4de0-b6de-d4fb0f8db63f&algo_exp_id=e44bbaae-c9bd-4de0-b6de-d4fb0f8db63f-13&pdp_ext_f=%7B%22order%22%3A%2253%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2115.57%2112.61%21%21%2115.57%2112.61%21%4021033d9d17682610461547705ed3a1%2112000040961682855%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29911%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895&curPageLogUid=DUdxTNKNhLz3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007484306881%7C_p_origin_prod%3A,168.91
,,,,,,
PCB Components,,,,,,
Capacitor - 100uF 16V Capacitor,Minimum quantity was 50 on LCSC,5,0.014,0.70,https://www.lcsc.com/product-detail/C2960196.html?s_z=n_100uf%2520capacitor,169.66
Capacitor - 0.1uF Capacitor,Minimum quantity was 50 on LCSC,5,0.014,0.62,https://www.lcsc.com/product-detail/C5632435.html,170.33
Capacitor - 47uF ,"Comes in 20pcs on Aliexpress, cheaper than LCSC surprisingly",1,0.045,0.90,https://www.aliexpress.us/item/3256804117722266.html?spm=a2g0o.productlist.main.8.5b63ac02DP1nFx&aem_p4p_detail=2026011310181517426302097745200000269835&algo_pvid=14ee7d68-6f0a-4d28-b308-17bf4c452cb2&algo_exp_id=14ee7d68-6f0a-4d28-b308-17bf4c452cb2-7&pdp_ext_f=%7B%22order%22%3A%2222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.68%210.68%21%21%210.68%210.68%21%402103128817683282958954495e9cbe%2112000028690341741%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A725b2761%3Bm03_new_user%3A-29895&curPageLogUid=qXib9S2fzA2W&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004304037018%7C_p_origin_prod%3A&search_p4p_id=2026011310181517426302097745200000269835_2,171.30
Capacitor - 1000uF,"Comes in 20pcs on Aliexpress, couldnt find on LCSC",2,0.0665,1.33,https://www.aliexpress.us/item/3256804117722266.html?spm=a2g0o.productlist.main.8.5b63ac02DP1nFx&aem_p4p_detail=2026011310181517426302097745200000269835&algo_pvid=14ee7d68-6f0a-4d28-b308-17bf4c452cb2&algo_exp_id=14ee7d68-6f0a-4d28-b308-17bf4c452cb2-7&pdp_ext_f=%7B%22order%22%3A%2222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.68%210.68%21%21%210.68%210.68%21%402103128817683282958954495e9cbe%2112000028690341741%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A725b2761%3Bm03_new_user%3A-29895&curPageLogUid=qXib9S2fzA2W&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004304037018%7C_p_origin_prod%3A&search_p4p_id=2026011310181517426302097745200000269835_2,172.73
Screw Terminal - 2 Pin,Comes in 10pcs on Aliexpress,6,0.3,3.00,https://www.aliexpress.us/item/2255800681269043.html?spm=a2g0o.productlist.main.14.202142a3Pur8Va&algo_pvid=4fbe4f32-a8c9-49b2-859c-fe27f367b029&algo_exp_id=4fbe4f32-a8c9-49b2-859c-fe27f367b029-13&pdp_ext_f=%7B%22order%22%3A%22819%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.00%210.99%21%21%213.00%210.99%21%402101f70717683289541401940ec215%2110000009746956244%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A725b2761%3Bm03_new_user%3A-29895%3BpisId%3A5000000197827671&curPageLogUid=JaIwJU5G2DhI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000867583795%7C_p_origin_prod%3A,175.96
Schottky Diode - 1N5819,Got 2 because knowing me I'm gonna break one soldering,2,0.03,0.06,https://www.lcsc.com/product-detail/C2906661.html,176.02
Femal Pin Headers - 1x22,For the ESP32,2,0.4014,0.80,https://www.lcsc.com/product-detail/C20071202.html,176.88
